plot_id,study,age_cat,ymin,lower,middle,upper,ymax,title
plot_6,Peru,40-59,39.716624271001066,225.62975997559792,2560.4575424108325,6903.028174714195,20517.038199027233,DENV1 NS1
plot_6,Peru,>59,63.94858255546073,380.1495721867756,4540.033948644059,8662.30032850261,14801.005683730353,DENV1 NS1
plot_6,Senegal,<5,29.480430652267003,35.16834137681507,39.222240271184994,47.07598456066306,70.19844431749175,DENV1 NS1
plot_6,Senegal,5-9,140.99909237931604,215.60950754658177,283.1561884278034,338.302950310026,573.9948599261435,DENV1 NS1
plot_6,Senegal,10-17,143.1905772894953,230.3759473865408,300.8865808509793,355.70739902675837,666.2980642309813,DENV1 NS1
plot_6,Senegal,18-39,157.4592738817455,325.9724759363088,481.43784112536486,1276.5051728902172,7339.5438228641,DENV1 NS1
plot_6,Senegal,40-59,191.78717855121073,648.5291355554021,1523.9904485522009,2646.106801486022,9921.02819610183,DENV1 NS1
plot_6,Senegal,>59,365.1555541924291,1048.7442049740973,1613.8230236518036,2614.0438781292655,6081.339364873747,DENV1 NS1
plot_6,French Guiana,18-39,36.90509942671991,426.5868603551065,2548.620904045844,6779.200345589762,12927.638147639751,DENV1 NS1
plot_6,French Guiana,40-59,40.345956512574425,313.447267007692,2572.976634987764,6407.72231614297,11966.456874451484,DENV1 NS1
plot_6,French Guiana,>59,120.10073263540748,328.6186572236895,1333.8515159736965,4465.831811236209,13570.74041811796,DENV1 NS1
plot_6,New Caledonia,18-39,58.173651897799125,179.04752695934715,2799.8654518149574,6100.6034392061065,14424.055997057882,DENV1 NS1
plot_6,New Caledonia,40-59,49.23480153824143,304.48068213382123,4154.569400334637,7663.0900740835,15352.733079476626,DENV1 NS1
plot_6,New Caledonia,>59,2438.4094943970267,2855.511613473641,6057.763729237907,7947.181029289908,15109.918708958843,DENV1 NS1
plot_7,Peru,<5,33.114715756859226,48.11407711868473,66.38285877863021,126.66295101888277,528.0785960920007,ZIKVU NS1
plot_7,Peru,5-9,36.116362109881514,49.499123181587265,60.631120203580295,96.22830671848172,260.5211530106973,ZIKVU NS1
plot_7,Peru,10-17,32.00476339951519,54.7651139475897,80.61285775287065,246.10864963495752,2243.8754436946356,ZIKVU NS1
plot_7,Peru,18-39,36.770777220607684,86.05598384740942,196.81666795559266,658.5228977965683,5346.067520022897,ZIKVU NS1
plot_7,Peru,40-59,44.495358119374025,131.59540982530524,274.2520837305669,990.0305867001898,6554.146695179885,ZIKVU NS1
plot_7,Peru,>59,56.715010467070755,188.09504444682995,479.116962381866,1860.7627983181223,5471.931757180401,ZIKVU NS1
plot_7,Senegal,<5,31.326328281301503,37.09076625135945,39.15791035162688,43.39406927539497,50.47019556431909,ZIKVU NS1
plot_7,Senegal,5-9,112.96102550485686,200.94830270421664,269.15723471802374,320.2568357403497,620.687887119203,ZIKVU NS1
plot_7,Senegal,10-17,134.68429964040644,228.5794246032455,281.11219606994075,334.42613923153334,507.11856596905665,ZIKVU NS1
plot_7,Senegal,18-39,137.16695954161204,279.6048726584041,338.7237488463875,501.3273662943812,1187.551524237206,ZIKVU NS1
plot_7,Senegal,40-59,130.64997730094709,328.7885666125043,518.6699714413902,1029.4650572023872,3845.629307681392,ZIKVU NS1
plot_7,Senegal,>59,170.96183117664944,437.8265217158392,638.4699122810637,891.0603562019444,2409.014450881578,ZIKVU NS1
plot_7,French Guiana,18-39,42.35061718899784,115.70069026427967,209.04289264633664,509.6783604993669,3714.2049418468196,ZIKVU NS1
plot_7,French Guiana,40-59,50.43310127062864,135.0993800535545,263.01097940008583,720.379931469905,4788.740919892388,ZIKVU NS1
plot_7,French Guiana,>59,91.02559741528094,160.54426044476847,285.20699116541215,781.8258637711691,2754.1526663776517,ZIKVU NS1
plot_7,New Caledonia,18-39,39.519944038803324,119.43620268676153,192.08590284760746,464.87233252313223,3354.1243388779303,ZIKVU NS1
plot_7,New Caledonia,40-59,48.16280502083851,131.94265282130056,218.06824846063827,418.24592780550773,2326.9671366675984,ZIKVU NS1
plot_7,New Caledonia,>59,74.929160547746,157.5117288589233,260.3735176666839,557.132187648272,3650.1261786375894,ZIKVU NS1
plot_8,Peru,<5,27.1857430643701,86.45700610488299,128.30727199565675,496.8634280501269,4547.708700920598,YFV NS1
plot_8,Peru,5-9,27.242795002206897,56.4569714192308,86.84675610607397,145.28498229813613,589.3339327008022,YFV NS1
plot_8,Peru,10-17,23.890501480810087,67.40666741120668,121.92245083822007,237.8984518798561,1537.2184892326318,YFV NS1
plot_8,Peru,18-39,46.70193428949751,229.02391714954354,469.3179271991758,1514.427554368023,16538.078693052576,YFV NS1
plot_8,Peru,40-59,68.89453557639143,313.57986479533844,649.2718605624897,2733.389854958079,14484.948910939387,YFV NS1
plot_8,Peru,>59,48.01224560565382,506.94479631579213,2292.9798232135295,5692.600019192764,14972.600094783193,YFV NS1
plot_8,Senegal,<5,19.654446080912663,23.953856161112324,37.509801866347026,80.03987480527613,263.574769599617,YFV NS1
plot_8,Senegal,5-9,94.58416917752292,165.49428614300882,231.70678738102336,286.45163472769025,540.9080075139841,YFV NS1
plot_8,Senegal,10-17,104.72412404541191,199.08293751435014,256.6451472281106,317.09527957497727,617.2998327743719,YFV NS1
plot_8,Senegal,18-39,140.64829844637111,234.07602005393312,296.4023077517421,381.484804526143,761.143271064288,YFV NS1
plot_8,Senegal,40-59,106.05395419202043,238.40313486724622,316.280164969032,437.8624291262983,1086.8685979864958,YFV NS1
plot_8,Senegal,>59,129.0598851626874,311.10124419594945,428.2335403959078,953.3984330875315,4922.253647441241,YFV NS1
plot_8,French Guiana,18-39,36.42890845532023,210.31038686778598,426.4431027755351,1121.344319216286,10552.260350879493,YFV NS1
plot_8,French Guiana,40-59,57.934540119239955,280.53205686593805,722.0736068097863,1875.9804050974503,12435.687973424516,YFV NS1
plot_8,French Guiana,>59,185.69503424673235,393.494243618305,558.9739365641258,4205.492708598305,7982.7782533228055,YFV NS1
plot_8,New Caledonia,18-39,53.02786723311454,143.6242797659263,196.0155335922734,335.60274979819627,1100.6423946550206,YFV NS1
plot_8,New Caledonia,40-59,57.25876004158066,156.99793523074683,231.58739114664883,374.9529436351859,1375.048437733489,YFV NS1
plot_8,New Caledonia,>59,82.15614374942098,183.34511406412574,280.3685590134935,406.9812759541239,697.9004601420215,YFV NS1
