antigen,site,age_cat,male,ymin,lower,middle,upper,ymax,n
DENV1 EDIII,New Caledonia,40-59,Female,4.650492530324534,5.449373484606637,5.796633173101636,6.13427568487104,8.5724845687443,173
DENV1 EDIII,New Caledonia,40-59,Male,4.5949526873088615,5.463134711379503,5.880546949425009,6.289260044283659,8.530160518161905,131
DENV1 EDIII,New Caledonia,>59,Female,5.02218985254383,5.509331213905524,6.173700775059639,6.484300887896956,7.9072802579445165,25
DENV1 EDIII,New Caledonia,>59,Male,5.1360003461062345,5.449817250046365,5.851864075138428,6.434525345003754,6.648588432550418,15
DENV1 EDIII,Peru,10-17,Female,3.823195090670181,4.779971994715632,5.223693632628473,5.646115905106107,6.965903920523332,80
DENV1 EDIII,Peru,10-17,Male,4.019568400919785,4.784034002604151,5.30822429247576,5.63045313313508,7.538336845282117,73
DENV1 EDIII,Peru,18-39,Female,4.057773061092259,4.986923747247478,5.353451642448475,5.815110349903385,8.854555140404816,219
DENV1 EDIII,Peru,18-39,Male,4.162111732215212,4.918839390410845,5.451002865471928,5.984568798604123,9.071821554078896,76
DENV1 EDIII,Peru,40-59,Female,4.424712958320509,5.117293445666077,5.484733134839361,6.089900646979789,7.298144839124783,84
DENV1 EDIII,Peru,40-59,Male,4.674290703863269,5.319653233832943,5.7039552077803215,6.088310943357293,7.482232738879675,58
DENV1 EDIII,Peru,5-9,Female,4.395976053274524,4.792055265685676,5.184723084109581,5.79664182788945,7.3578987815782755,63
DENV1 EDIII,Peru,5-9,Male,4.027290447013695,4.766455389387494,5.242596636290765,5.794179875266613,7.87953849157406,63
DENV1 EDIII,Peru,<5,Female,4.030776338534309,4.89979761294008,5.281039070751509,5.708740354464371,6.803142246585446,23
DENV1 EDIII,Peru,<5,Male,3.870213396926333,4.692984886264429,5.100901933027082,5.724369387366308,7.182308831225204,33
DENV1 EDIII,Peru,>59,Female,4.67904497648574,5.403992709265559,5.756972993200058,6.163629114057296,7.7811453323139075,50
DENV1 EDIII,Peru,>59,Male,4.7307494841646545,5.270402526336094,5.6146252969240695,6.180625857293695,7.439767759437103,58
DENV1 EDIII,Senegal,10-17,Female,5.268507817793208,5.886442539412975,6.089599307053259,6.3190902727655205,7.256687559757863,154
DENV1 EDIII,Senegal,10-17,Male,5.220482841520893,5.856346523202147,6.061037801735312,6.330835495774833,7.708087393170078,126
DENV1 EDIII,Senegal,18-39,Female,4.894700279623996,6.001799427008833,6.197825849624862,6.417951653497879,7.451892685168171,234
DENV1 EDIII,Senegal,18-39,Male,5.566433822096649,6.061849933230392,6.283197546000467,6.4848334617950405,8.398960217021902,125
DENV1 EDIII,Senegal,40-59,Female,5.3237176567536375,6.0508328117545025,6.308801328767446,6.615028325849828,8.452181745228247,124
DENV1 EDIII,Senegal,40-59,Male,5.42569823371981,6.19869897656048,6.39491716609076,6.626132591303137,8.08360062702233,90
DENV1 EDIII,Senegal,5-9,Female,4.4504491464806755,5.792692187230173,6.063723797822574,6.260742821769324,7.407339708877942,104
DENV1 EDIII,Senegal,5-9,Male,4.284934708003102,5.75442388278892,5.99469784516962,6.233717488737097,7.645685188380992,109
DENV1 EDIII,Senegal,<5,Female,4.049212374482032,4.471388304490449,4.833051939944175,5.353036280649927,7.838470845481819,44
DENV1 EDIII,Senegal,<5,Male,3.816765309674357,4.205375369391554,4.62471655184026,4.872945480653434,6.562201993012858,34
DENV1 EDIII,Senegal,>59,Female,5.4300075204942555,6.1296291778634755,6.23897898914613,6.722682475461644,7.569839867600576,42
DENV1 EDIII,Senegal,>59,Male,5.4114852895652374,5.998696270033502,6.254042961842347,6.465854473947362,7.470694041354639,33
DENV1 NS1,French Guiana,18-39,Female,3.745985880824312,7.19183928411165,8.519931654784443,8.948979655983502,9.467122790551684,128
DENV1 NS1,French Guiana,18-39,Male,3.6083497373443834,5.815348333114174,7.6205036828864365,8.707348717080947,9.368743047662882,323
DENV1 NS1,French Guiana,40-59,Female,3.819916033148468,6.56433206221649,8.345161419005828,8.917642176646194,9.382166040329135,94
DENV1 NS1,French Guiana,40-59,Male,3.6974911793494463,5.491617040336951,7.676881252197223,8.70686812469134,9.3898627542717,227
DENV1 NS1,French Guiana,>59,Female,5.962450670455139,6.8507558313934425,7.739060992331748,8.627366153270053,9.515671314208356,2
DENV1 NS1,French Guiana,>59,Male,4.788330829278884,5.6273452933625805,7.1958259129144,8.191351516256463,8.991648665101659,13
DENV1 NS1,New Caledonia,18-39,Female,4.063432535697663,5.095617101439627,7.555091366376463,8.662268908759781,9.576652647089835,156
DENV1 NS1,New Caledonia,18-39,Male,4.1115009387386845,5.899437717851017,8.109335376335101,8.751993024671062,9.45968135568828,100
DENV1 NS1,New Caledonia,40-59,Female,4.226227132880666,5.811158795886272,8.43986336827745,8.994447774227403,9.57521163554651,173
DENV1 NS1,New Caledonia,40-59,Male,3.896600721783576,5.638254820703604,8.219006326046799,8.889452634231256,9.63904878794642,131
DENV1 NS1,New Caledonia,>59,Female,5.444163230499589,8.067653118111346,8.565503226032742,9.02480186960069,9.623106675302534,25
DENV1 NS1,New Caledonia,>59,Male,4.517351227275828,6.864112462719859,8.726748083655753,8.93718921566198,9.544773346588231,15
DENV1 NS1,Peru,10-17,Female,3.273705721906586,4.071942684924674,4.676484319054598,5.564321207875683,9.261746217273592,80
